Generic Name,Drug Class,Indications,Dosage Form,Strength,Route of Administration,Side Effects,Contraindications,Interaction warnings & Precautions,Storage Conditions,Pregnancy Category,Reference,Availability
Chloramphenicol,Antibiotic,Serious infections (e.g.,Ointment,0.50%,Ophthalmic,meningitis,typhoid fever),Potentiates effects of warfarin phenytoin and sulfonylureas by inhibiting their metabolism Associated with serious and fatal blood dyscrasias like aplastic anemia.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Gray baby syndrome risk),Prescription
Chlordiazepoxide,Benzodiazepine,Anxiety disorders,Capsule,10 mg,Oral,alcohol withdrawal,Sedation,CNS depressants including alcohol and opioids increase sedation risk Abrupt discontinuation can cause withdrawal symptoms.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Chlorthalidone,Thiazide Diuretic,Hypertension,Tablet,25 mg,Oral,edema,Hypokalemia,Other antihypertensive drugs can have additive effects Lithium levels may be increased Can cause hypokalemia and hyponatremia.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information (Thiazide risk),Prescription
Cholecalciferol,Vitamin D Supplement,Vitamin D deficiency,Softgel,2000 IU,Oral,Hypercalcemia,Hypercalcemia,Cholestyramine and mineral oil may reduce absorption Excessive intake can lead to hypercalcemia.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information (Hypercalcemia risk),No prescription required
Ciclopirox,Antifungal,Fungal skin infections,Gel,0.77%,Topical,nail infections,Skin irritation,No significant drug interactions For topical use only not for ophthalmic use.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Cidofovir,Antiviral,Cytomegalovirus (CMV) retinitis,Solution,375 mg/5 mL,Intravenous,Nephrotoxicity,neutropenia,Probenecid is required during administration to reduce nephrotoxicity and other nephrotoxic drugs should be avoided Causes severe nephrotoxicity requires pre-hydration and renal function monitoring.,Refrigerate,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Cilostazol,Phosphodiesterase Inhibitor,Intermittent claudication,Tablet,100 mg,Oral,Headache,diarrhea,Strong CYP3A4 or CYP2C19 inhibitors (eg omeprazole) may increase levels Contraindicated in patients with heart failure of any severity.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Cimetidine,H2 Blocker,Peptic ulcer disease,Tablet,400 mg,Oral,GERD,Headache,Inhibits CYP450 enzymes increasing levels of many drugs (eg warfarin phenytoin) Mental confusion and dizziness are more common in elderly or severely ill patients.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,No prescription required/Prescription
Cinacalcet,Calcimimetic,Hyperparathyroidism,Tablet,30 mg,Oral,Nausea,vomiting,Strong CYP3A4 inhibitors may increase levels Can cause hypocalcemia monitor serum calcium levels closely.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Ciprofloxacin,Fluoroquinolone Antibiotic,Bacterial infections,Tablet,500 mg,Oral,Nausea,diarrhea,Chelates with divalent cations (antacids Ca2+ Fe2+) reducing absorption May enhance effects of warfarin Associated with tendonitis and tendon rupture.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information (Arthropathy risk in animals),Prescription
Cisplatin,Alkylating Agent,Various cancers,Solution,1 mg/mL,Intravenous,Nephrotoxicity,nausea,Nephrotoxic drugs enhance cisplatin-induced kidney damage Ototoxicity is cumulative and may be severe and irreversible.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Citalopram,SSRI,Depression,Tablet,20 mg,Oral,Nausea,somnolence,MAOIs can cause serotonin syndrome and other SSRIs may have additive effects Causes dose-dependent QT prolongation.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Clarithromycin,Macrolide Antibiotic,Bacterial infections,Tablet,500 mg,Oral,Diarrhea,nausea,Inhibits CYP3A4 increasing levels of many drugs (eg statins carbamazepine) May cause QT prolongation and subsequent arrhythmias.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Clindamycin,Lincosamide Antibiotic,Bacterial infections,Capsule,300 mg,Oral,Diarrhea (including C. difficile),nausea,May enhance the effects of neuromuscular blocking agents Causes severe and sometimes fatal Clostridium difficile-associated diarrhea.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,Prescription
Clobetasol,Topical Corticosteroid,Inflammatory skin conditions,Cream,0.05%,Topical,Skin atrophy,burning,No significant drug interactions Systemic absorption can cause reversible HPA axis suppression with potential for glucocorticosteroid insufficiency.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Clomiphene,Selective Estrogen Receptor Modulator (SERM),Ovulation induction,Tablet,50 mg,Oral,Ovarian enlargement,hot flashes,No significant drug interactions May cause visual disturbances and ovarian hyperstimulation syndrome.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Clomipramine,Tricyclic Antidepressant,Obsessive-compulsive disorder (OCD),Capsule,25 mg,Oral,Dry mouth,sedation,MAOIs can cause serotonin syndrome and hyperpyrexia Strong anticholinergic effects may occur with other drugs Increased risk of suicide in children and young adults.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information,Prescription
Clonazepam,Benzodiazepine,Seizures,Tablet,1 mg,Oral,panic disorder,Sedation,CNS depressants including alcohol and opioids increase sedation risk Abrupt discontinuation can cause withdrawal seizures.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Clonidine,Alpha-2 Agonist,Hypertension,Tablet,0.1 mg,Oral,ADHD,Dry mouth,CNS depressants may enhance sedative effects Abrupt discontinuation can cause rebound hypertension and nervousness.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Clopidogrel,Antiplatelet,Cardiovascular event prevention,Tablet,75 mg,Oral,Bleeding,rash,Proton pump inhibitors like omeprazole may reduce its antiplatelet effect Risk of bleeding including life-threatening and fatal bleeding.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Clorazepate,Benzodiazepine,Anxiety disorders,Tablet,7.5 mg,Oral,Sedation,dizziness,CNS depressants including alcohol and opioids increase sedation risk Abrupt discontinuation can cause withdrawal symptoms.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Clotrimazole,Antifungal,Fungal skin infections,Cream,1%,Topical,vaginal yeast infections,Skin irritation,No significant drug interactions For topical use only not for ophthalmic use.,Room Temperature,Human studies have proved safety,FDA Prescribing Information,No prescription required
Clozapine,Atypical Antipsychotic,Treatment-resistant schizophrenia,Tablet,100 mg,Oral,Sedation,sialorrhea,Bone marrow suppressants may increase risk of agranulocytosis Can cause severe neutropenia and agranulocytosis requiring mandatory WBC monitoring.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Codeine,Opioid Agonist,Pain,Tablet,30 mg,Oral,cough,Constipation,CNS depressants including alcohol and benzodiazepines increase sedation risk Life-threatening respiratory depression may occur especially in CYP2D6 ultra-rapid metabolizers.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information (Opioid risk),Prescription
Colchicine,Antigout,Gout flares,Tablet,0.6 mg,Oral,Diarrhea,nausea,Strong CYP3A4 or P-gp inhibitors (eg clarithromycin) dramatically increase levels and risk of fatal toxicity Can cause myelosuppression with chronic use.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Colesevelam,Bile Acid Sequestrant,Hyperlipidemia,Tablet,625 mg,Oral,type 2 diabetes,Constipation,Can decrease the absorption of many other drugs (eg warfarin phenytoin) administer other drugs 4 hours before colesevelam Can cause constipation and may increase triglycerides.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Conjugated Estrogens,Estrogen,Hormone replacement,Tablet,0.625 mg,Oral,osteoporosis prevention,Breast tenderness,Inducers of CYP450 enzymes (eg carbamazepine) may decrease estrogen levels Increases risk of thromboembolic disorders and endometrial cancer.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Cromolyn,Mast Cell Stabilizer,Allergic rhinitis,Spray,5.2 mg/actuation,Nasal,asthma,Throat irritation,No significant drug interactions Not for acute treatment of an asthma attack.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Cyclobenzaprine,Skeletal Muscle Relaxant,Muscle spasms,Tablet,10 mg,Oral,Drowsiness,dry mouth,MAOIs are contraindicated due to risk of serotonin syndrome and hyperpyrexia May impair mental and physical abilities required for driving.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Cyclophosphamide,Alkylating Agent,Various cancers,Tablet,50 mg,Oral,immunosuppression,Myelosuppression,Allopurinol may increase the risk of leukopenia Can cause hemorrhagic cystitis and myelosuppression.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Cyclosporine,Immunosuppressant,Organ transplant rejection,Capsule,100 mg,Oral,autoimmune disorders,Nephrotoxicity,Many drugs can increase levels (eg ketoconazole) or decrease levels (eg rifampin) Nephrotoxicity and hypertension are common dose-related toxicities.,Room Temperature,Positive evidence of fetus risks but benefits may outweigh risks in some cases,FDA Prescribing Information,Prescription
Cyproheptadine,Antihistamine,Allergic reactions,Tablet,4 mg,Oral,appetite stimulation,Sedation,CNS depressants may enhance sedative effects May cause drowsiness and impair mental and physical abilities.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
Dabigatran,Direct Thrombin Inhibitor,Stroke prevention in atrial fibrillation,Capsule,150 mg,Oral,VTE treatment,Bleeding,P-gp inducers (eg rifampin) decrease levels and P-gp inhibitors (eg dronedarone) increase levels Risk of serious and sometimes fatal bleeding.,Room Temperature,Animal studies have proved adverse effects but may be safe for humans,FDA Prescribing Information (Risk of hemorrhage),Prescription
Dabrafenib,Kinase Inhibitor,Melanoma (BRAF V600E mutation),Capsule,75 mg,Oral,Hyperkeratosis,headache,Strong CYP3A4 inducers or inhibitors may alter levels May promote the growth of certain skin cancers monitor for new malignancies.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Dacarbazine,Alkylating Agent,Hodgkin's lymphoma,Powder for Injection,200 mg,Intravenous,melanoma,Nausea,Phenytoin may reduce efficacy Can cause severe nausea and vomiting and myelosuppression.,Room Temperature,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Dactinomycin,Antitumor Antibiotic,Various cancers,Powder for Injection,0.5 mg,Intravenous,Myelosuppression,nausea,Radiation therapy can recall skin reactions Can cause severe myelosuppression and extravasation injury.,Refrigerate Protect from light,Contraindicated (not allowed),FDA Prescribing Information,Prescription
Dalbavancin,Glycopeptide Antibiotic,Bacterial skin infections,Powder for Injection,500 mg,Intravenous,Nausea,diarrhea,No significant drug interactions Prolonged terminal half-life allows for once-weekly dosing.,Room Temperature,Animal studies have demonstrated safety,FDA Prescribing Information,Prescription
