unii,name,classes,usage,side_effects,contraindications
F10,Tisotumab vedotin,Tissue factor-directed antibody-drug conjugate,Treatment of recurrent or metastatic cervical cancer,Ocular adverse reactions, peripheral neuropathy, hemorrhage,"Ocular Adverse Reactions"
G10,Mirvetuximab soravtansine,Folate receptor alpha-directed antibody-drug conjugate,Treatment of platinum-resistant ovarian cancer,Ocular toxicity, fatigue, nausea,"Ocular Adverse Reactions"
H10,Margetuximab,HER2-directed antibody,Treatment of HER2-positive metastatic breast cancer,Infusion-related reactions, fatigue, nausea,"Left Ventricular Dysfunction, Embryo-Fetal Toxicity"
I10,Tafasitamab,CD19-directed antibody,Treatment of diffuse large B-cell lymphoma (in combination with lenalidomide),Infusion-related reactions, neutropenia, fatigue,"Infusion-Related Reactions, Myelosuppression"
J10,Amivantamab,EGFR and MET bispecific antibody,Treatment of NSCLC with EGFR exon 20 insertion mutations,Infusion-related reaction, rash, paronychia,"Infusion Related Reactions, Interstitial Lung Disease/Pneumonitis, Skin and Ocular Toxicity"
K10,Teclistamab,BCMA and CD3 bispecific antibody,Treatment of multiple myeloma,Cytokine release syndrome, neurologic toxicity, neutropenia,"Cytokine Release Syndrome, Neurologic Toxicity including ICANS"
L10,Mosunetuzumab,CD20 and CD3 bispecific antibody,Treatment of follicular lymphoma,Cytokine release syndrome, fatigue, rash,"Cytokine Release Syndrome"
M10,Glofitamab,CD20 and CD3 bispecific antibody,Treatment of diffuse large B-cell lymphoma,Cytokine release syndrome, infusion-related reaction, neutropenia,"Cytokine Release Syndrome"
N10,Epcoritamab,CD20 and CD3 bispecific antibody,Treatment of diffuse large B-cell lymphoma,Cytokine release syndrome, injection site reaction, fatigue,"Cytokine Release Syndrome, Immune Effector Cell-Associated Neurotoxicity Syndrome (ICANS)"
O10,Talquetamab,GPRC5D and CD3 bispecific antibody,Treatment of multiple myeloma,Oral toxicity (dysgeusia, dysphagia), skin toxicity, cytokine release syndrome,"Oral and Skin Toxicity, Cytokine Release Syndrome"
P10,Elranatamab,BCMA and CD3 bispecific antibody,Treatment of multiple myeloma,Cytokine release syndrome, injection site reaction, anemia,"Cytokine Release Syndrome, Neurologic Toxicity including ICANS"
Q10,Odronextamab,CD20 and CD3 bispecific antibody,Treatment of follicular lymphoma and diffuse large B-cell lymphoma,Cytokine release syndrome, neutropenia, infusion-related reaction,"Cytokine Release Syndrome, Neurologic Toxicity including ICANS"
R10,Lonafarnib,Farnesyltransferase inhibitor,Treatment of Hutchinson-Gilford progeria syndrome and progeroid laminopathies,Nausea, vomiting, diarrhea,"Reduced visual acuity, renal toxicity"
S10,Selumetinib,MEK inhibitor,Treatment of neurofibromatosis type 1 (NF1) with symptomatic, inoperable plexiform neurofibromas,Cardiomyopathy, ocular toxicity, skin rash,"Cardiomyopathy, Ocular Toxicity, Serous Retinopathy"
T10,Avapritinib,Kinase inhibitor,Treatment of gastrointestinal stromal tumors (GIST) with a PDGFRA exon 18 mutation and advanced systemic mastocytosis,Edema, nausea, cognitive impairment,"Intracranial Hemorrhage"
U10,Ripretinib,Kinase inhibitor,Treatment of advanced gastrointestinal stromal tumor (GIST),Alopecia, fatigue, nausea,"New Primary Cutaneous Malignancies, Hypertension, Cardiac Dysfunction"
V10,Tucatinib,HER2 kinase inhibitor,Treatment of HER2-positive breast cancer,Diarrhea, hepatotoxicity, fatigue,"Diarrhea, Hepatotoxicity"
W10,Pemigatinib,FGFR inhibitor,Treatment of cholangiocarcinoma with an FGFR2 fusion or other rearrangement,Hyperphosphatemia, ocular toxicity, alopecia,"Ocular Toxicity, Hyperphosphatemia"
X10,Infigratinib,FGFR inhibitor,Treatment of cholangiocarcinoma with an FGFR2 fusion or other rearrangement,Hyperphosphatemia, ocular toxicity, stomatitis,"Ocular Toxicity (Retinal Pigment Epithelial Detachment), Hyperphosphatemia"
Y10,Erdafitinib,FGFR inhibitor,Treatment of urothelial carcinoma with susceptible FGFR3 or FGFR2 genetic alterations,Hyperphosphatemia, ocular toxicity, stomatitis,"Ocular Disorders, Hyperphosphatemia"
Z10,Asciminib,Kinase inhibitor (STAMP inhibitor),Treatment of chronic myeloid leukemia (CML),Thrombocytopenia, neutropenia, musculoskeletal pain,"Pancreatitis, QT Prolongation, Hypertension"
AA7,Sotorasib,KRAS G12C inhibitor,Treatment of KRAS G12C-mutated non-small cell lung cancer (NSCLC),Hepatotoxicity, diarrhea, nausea,"Hepatotoxicity, Interstitial Lung Disease (ILD)/Pneumonitis"
BB7,Adagrasib,KRAS G12C inhibitor,Treatment of KRAS G12C-mutated non-small cell lung cancer (NSCLC),Nausea, diarrhea, QT prolongation,"QTc Interval Prolongation, Hepatotoxicity, Interstitial Lung Disease (ILD)/Pneumonitis"
CC7,Tepotinib,MET inhibitor,Treatment of metastatic non-small cell lung cancer (NSCLC) with METex14 skipping alterations,Edema, fatigue, nausea,"Interstitial Lung Disease (Pneumonitis), Hepatotoxicity"
DD7,Capmatinib,MET inhibitor,Treatment of metastatic non-small cell lung cancer (NSCLC) with METex14 skipping alterations,Peripheral edema, nausea, fatigue,"Interstitial Lung Disease (Pneumonitis), Hepatotoxicity"
EE7,Tepotinib,MET inhibitor,"Treatment of metastatic non-small cell lung cancer (NSCLC) with METex14 skipping alterations",Edema, fatigue, nausea,"Interstitial Lung Disease (Pneumonitis), Hepatotoxicity"
FF7,Pralsetinib,RET inhibitor,Treatment of RET fusion-positive non-small cell lung cancer (NSCLC) and thyroid cancer,Hypertension, neutropenia, hepatotoxicity,"Interstitial Lung Disease (ILD)/Pneumonitis, Hypertension, Hepatotoxicity"
GG7,Selpercatinib,RET inhibitor,Treatment of RET fusion-positive non-small cell lung cancer (NSCLC) and thyroid cancer,Hypertension, elevated liver enzymes, dry mouth,"Hepatotoxicity, Hypertension, QT Prolongation"
HH7,Larotrectinib,TRK inhibitor,Treatment of solid tumors with an NTRK gene fusion,Elevated liver enzymes, fatigue, dizziness,"Neurotoxicity, Hepatotoxicity"
II7,Entrectinib,TRK/ROS1/ALK inhibitor,Treatment of solid tumors with an NTRK gene fusion and ROS1-positive NSCLC,Congestive heart failure, CNS effects, skeletal fractures,"Congestive Heart Failure, CNS Effects, Skeletal Fractures"
JJ7,Zanubrutinib,BTK inhibitor,Treatment of mantle cell lymphoma, Waldenström macroglobulinemia, and marginal zone lymphoma,Neutropenia, upper respiratory tract infection, bruising,"Hemorrhage, Infections, Cardiac Arrhythmias"
KK7,Orelabrutinib,BTK inhibitor,Treatment of mantle cell lymphoma and chronic lymphocytic leukemia (Not FDA approved),Infection, neutropenia, rash,N/A
LL7,Tirabrutinib,BTK inhibitor,Treatment of Waldenström’s macroglobulinemia and lymphoplasmacytic lymphoma (Not FDA approved),Hemorrhage, rash,N/A
MM7,Fedratinib,JAK2 inhibitor,Treatment of myelofibrosis,Encephalopathy (including Wernicke's) (boxed warning), anemia, GI toxicity,"Serious and Fatal Encephalopathy"
NN7,Pacritinib,JAK2/IRAK1 inhibitor,Treatment of myelofibrosis with severe thrombocytopenia,Hemorrhage, diarrhea, thrombocytopenia,"Serious Hemorrhage, Thrombosis, Infections"
OO7,Momelotinib,JAK1/JAK2/ACVR1 inhibitor,Treatment of myelofibrosis with anemia,Anemia, thrombocytopenia, symptomatic improvement,"Hepatotoxicity, Major Adverse Cardiac Events, Thrombosis"
PP7,Baricitinib,JAK inhibitor,Treatment of rheumatoid arthritis, alopecia areata, and COVID-19,"Serious infections, malignancy, thrombosis (boxed warnings)",N/A
QQ7,Upadacitinib,JAK inhibitor,Treatment of rheumatoid arthritis, psoriatic arthritis, atopic dermatitis, and ulcerative colitis,"Serious infections, malignancy, thrombosis (boxed warnings)",N/A
RR7,Filgotinib,JAK inhibitor,Treatment of rheumatoid arthritis,"Serious infections, malignancy, thrombosis (boxed warnings)",Testicular toxicity concern.
SS7,Abrocitinib,JAK1 inhibitor,Treatment of atopic dermatitis,"Serious infections, malignancy, thrombosis (boxed warnings), nausea",N/A
TT7,Deucravacitinib,TYK2 inhibitor,Treatment of moderate-to-severe plaque psoriasis,"Infections, nasopharyngitis",Different safety profile from other JAK inhibitors.
UU7,Ritlecitinib,JAK3/TEC family kinase inhibitor,Treatment of severe alopecia areata,Infections, headache, dizziness,N/A
VV7,Voxelotor,Hemoglobin S polymerization inhibitor,Treatment of sickle cell disease,Headache, diarrhea, rash,N/A
WW7,Mitapivat,Pyruvate kinase activator,Treatment of hemolytic anemia in adults with pyruvate kinase (PK) deficiency,Estrone increase, back pain, arthralgia,N/A
XX7,Igan,N/A,N/A,N/A,N/A
YY7,Pegcetacoplan,Complement C3 inhibitor,Treatment of paroxysmal nocturnal hemoglobinuria (PNH) and geographic atrophy,"Serious meningococcal infections, injection site reactions",Vaccinate against Neisseria meningitidis.
ZZ7,Danicopan,Factor D inhibitor,Add-on therapy for paroxysmal nocturnal hemoglobinuria (PNH) with extravascular hemolysis,Headache, fatigue, elevated liver enzymes,"Increased susceptibility to encapsulated bacterial infections"
A111,Iptacopan,Factor B inhibitor,Treatment of paroxysmal nocturnal hemoglobinuria (PNH),Headache, nasopharyngitis, diarrhea,"Serious Infections Caused by Encapsulated Bacteria"
B111,Crovalimab,Complement C5 inhibitor,Treatment of paroxysmal nocturnal hemoglobinuria (PNH),Upper respiratory tract infection, infusion-related reactions,"Serious Meningococcal Infections and Other Encapsulated Bacteria"
C111,Pozelimab,Complement C5 inhibitor,Treatment of CD55-deficient protein-losing enteropathy (CHAPLE disease),Upper respiratory tract infection, fracture, urticaria,"Serious Meningococcal Infections and other Encapsulated Bacterial Infections"
D111,Cemdisiran,Complement C5 siRNA,Treatment of paroxysmal nocturnal hemoglobinuria (PNH) (Not FDA approved),N/A,"Serious Meningococcal Infections and other Encapsulated Bacterial Infections"
E111,Fenebrutinib,BTK inhibitor,Investigational for multiple sclerosis and other autoimmune diseases,N/A,N/A
F111,Remibrutinib,BTK inhibitor,Investigational for chronic spontaneous urticaria,N/A,N/A
G111,Evobrutinib,BTK inhibitor,Investigational for multiple sclerosis,N/A,N/A
H111,Bexagliflozin,SGLT2 inhibitor,Treatment of type 2 diabetes,Genital mycotic infections, urinary tract infection,N/A
I111,Sotagliflozin,Dual SGLT1/SGLT2 inhibitor,Treatment of heart failure,Diarrhea, genital mycotic infections,"Diabetic Ketoacidosis, Fournier's Gangrene"
J111,Luspatercept,TGF-β ligand trap,Treatment of anemia in beta thalassemia and myelodysplastic syndromes,Fatigue, headache, hypertension,"Thrombosis/Thromboembolism, Hypertension"
K111,Sutimlimab,Complement C1s inhibitor,Treatment of hemolysis in patients with cold agglutinin disease (CAD),Infusion-related reactions, hypertension, headache,"Serious Infections"
L111,Anifrolumab,Type I interferon receptor antagonist,Treatment of systemic lupus erythematosus (SLE),Upper respiratory tract infection, herpes zoster, infusion reactions,"Serious Infections, Hypersensitivity Reactions"
M111,Tezepelumab,TSLP blocker,Add-on maintenance treatment for severe asthma,Arthralgia, pharyngitis, injection site reactions,N/A
N111,Mavacamten,Cardiac myosin inhibitor,Treatment of obstructive hypertrophic cardiomyopathy (HCM),Reduced ejection fraction, dizziness, syncope,"Heart Failure"
O111,Aficamten,Cardiac myosin inhibitor,Investigational for obstructive hypertrophilic cardiomyopathy (HCM),N/A,N/A
P111,Lenacapavir,HIV-1 capsid inhibitor,Treatment of multi-drug resistant HIV-1 infection,Injection site reactions, nausea,Administered subcutaneously every 6 months.
Q111,Inclisiran,siRNA,Lowers LDL cholesterol,Injection site reaction, arthralgia,N/A
R111,Bempedoic acid,ACL inhibitor,Lowers LDL cholesterol,Hyperuricemia, tendon rupture,N/A
S111,Obeticholic acid,Farnesoid X receptor (FXR) agonist,Treatment of primary biliary cholangitis (PBC),Severe pruritus, hepatic decompensation in cirrhotic patients (boxed warning),N/A
T111,Elafibranor,PPAR alpha/delta agonist,Investigational for primary biliary cholangitis (PBC),N/A,N/A
U111,Lanifibranor,Pan-PPAR agonist,Investigational for non-alcoholic steatohepatitis (NASH),N/A,N/A
V111,Resmetirom,Thyroid hormone receptor-beta agonist,Treatment of non-alcoholic steatohepatitis (NASH),Diarrhea, nausea,"Hepatotoxicity"
W111,Semaglutide,GLP-1 receptor agonist,"Treatment of type 2 diabetes and obesity; reduces risk of major cardiovascular events",Nausea, vomiting, diarrhea,"Risk of Thyroid C-Cell Tumors"
X111,Tirzepatide,GIP and GLP-1 receptor agonist,"Treatment of type 2 diabetes and obesity",Nausea, vomiting, diarrhea,"Risk of Thyroid C-Cell Tumors"
Y111,Cagrilintide,Amylin analog,Investigational for weight management (often with semaglutide),N/A,N/A
Z111,Pegilodecakin,IL-10 receptor agonist,Investigational for cancer,N/A,N/A
A112,Bempegaldesleukin,IL-2 agonist,Investigational for cancer,N/A,N/A
B112,Donanemab,Amyloid beta-directed antibody,Investigational for Alzheimer's disease,Amyloid-related imaging abnormalities (ARIA), infusion-related reactions,N/A
C112,Lecanemab,Amyloid beta-directed antibody,Treatment of Alzheimer's disease,Amyloid-related imaging abnormalities (ARIA), infusion-related reactions,N/A
D112,Aducanumab,Amyloid beta-directed antibody,Treatment of Alzheimer's disease,Amyloid-related imaging abnormalities (ARIA), headache,N/A
E112,Gantenerumab,Amyloid beta-directed antibody,Investigational for Alzheimer's disease,N/A,N/A
F112,Birtamimab,Amyloid-directed antibody,Investigational for AL amyloidosis,N/A,N/A
G112,Atogepant,CGRP receptor antagonist,Preventive treatment of migraine,Nausea, constipation, fatigue,N/A
H112,Rimegepant,CGRP receptor antagonist,Acute and preventive treatment of migraine,Nausea, somnolence,N/A
I112,Ubrogepant,CGRP receptor antagonist,Acute treatment of migraine,Nausea, somnolence,N/A
J112,Zavegepant,CGRP receptor antagonist,Acute treatment of migraine (nasal spray),Unusual taste, nausea, nasal discomfort,N/A
K112,Lasmiditan,5-HT1F receptor agonist,Acute treatment of migraine,Dizziness, fatigue, paresthesia,CNS depression; should not drive for at least 8 hours.
L112,LetibotulinumtoxinA,Acetylcholine release inhibitor,Temporary improvement of glabellar lines,Headache, eyelid ptosis,N/A
M112,DaxibotulinumtoxinA,Acetylcholine release inhibitor,Temporary improvement of glabellar lines,Headache, eyelid ptosis,N/A
N112,Relatlimab,LAG-3-blocking antibody,Treatment of unresectable or metastatic melanoma (in combination with nivolumab),Fatigue, musculoskeletal pain, rash,"Immune-Mediated Adverse Reactions"
O112,Giredestrant,SERD,Investigational for ER-positive breast cancer,N/A,N/A
P112,Camizestrant,SERD,Investigational for ER-positive breast cancer,N/A,N/A
Q112,Imlunestrant,SERD,Investigational for ER-positive breast cancer,N/A,N/A
R112,Verinurad,URAT1 inhibitor,Investigational for gout,N/A,N/A
S112,Daprodustat,HIF-PH inhibitor,Treatment of anemia of chronic kidney disease,"Increased risk of thrombotic vascular events",N/A
T112,Roxadustat,HIF-PH inhibitor,Treatment of anemia of chronic kidney disease,"Increased risk of thrombotic vascular events",N/A
U112,Vadadustat,HIF-PH inhibitor,Treatment of anemia of chronic kidney disease,"Increased risk of thrombotic vascular events",N/A
V112,Bavdegalutamide,PROTAC,Investigational for prostate cancer,N/A,N/A
W112,Pirtobrutinib,BTK inhibitor,Treatment of mantle cell lymphoma,Fatigue, bruising, diarrhea,"Infections, Hemorrhage, Cytopenias"
X112,Nemolizumab,IL-31 receptor A antagonist,Investigational for atopic dermatitis and prurigo nodularis,N/A,N/A
Y112,Lebrikizumab,IL-13 antagonist,Investigational for atopic dermatitis,N/A,N/A
Z112,Tralokinumab,IL-13 antagonist,Treatment of atopic dermatitis,Upper respiratory tract infections, conjunctivitis, injection site reactions,N/A
A113,Bimekizumab,IL-17A and IL-17F antagonist,Treatment of plaque psoriasis,Upper respiratory tract infections, oral candidiasis, injection site reactions,"Suicidal Ideation and Behavior, Increased risk of infections"
B113,Spesolimab,IL-36 receptor antagonist,Treatment of generalized pustular psoriasis (GPP) flares,Infection, injection site reaction,N/A
C113,Mirikizumab,IL-23 antagonist,Treatment of ulcerative colitis,Upper respiratory tract infections, headache, arthralgia,N/A
D113,Risankizumab,IL-23 antagonist,Treatment of psoriasis, Crohn's disease, and psoriatic arthritis,Upper respiratory tract infections, headache, fatigue,N/A
E113,Guselkumab,IL-23 antagonist,Treatment of psoriasis and psoriatic arthritis,Upper respiratory tract infections, headache, injection site reactions,N/A
